mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__criterion,param_classifier__max_depth,param_classifier__min_samples_leaf,param_classifier__min_samples_split,param_classifier__random_state,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.11991629600524903,0.1058009543679067,0.0040228843688964845,0.0021470173129474537,gini,,1,2,42,"{'classifier__criterion': 'gini', 'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__random_state': 42}",0.9367179980750722,0.9319056785370549,0.9338306063522618,0.9326275264677575,0.9205967276227142,0.9311357074109721,0.005519292055558603,275,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.06797313690185547,0.0022181622072211422,0.003395557403564453,0.0010054818344053915,gini,,1,2,23,"{'classifier__criterion': 'gini', 'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__random_state': 23}",0.9355149181905679,0.9326275264677575,0.9340712223291626,0.9319056785370549,0.9270933589990376,0.9322425409047161,0.0028575616630035585,266,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.06823539733886719,0.0025038796046801385,0.0027990818023681642,0.00039950700535742545,gini,,1,2,15,"{'classifier__criterion': 'gini', 'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__random_state': 15}",0.9314244465832531,0.9340712223291626,0.937199230028874,0.9338306063522618,0.9227622714148219,0.9318575553416746,0.004903845698886249,269,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.06699132919311523,0.0022728224183755238,0.0031177043914794923,0.00028311563685302693,gini,,1,2,53,"{'classifier__criterion': 'gini', 'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__random_state': 53}",0.936958614051973,0.933589990375361,0.933589990375361,0.9333493743984601,0.9220404234841193,0.9319056785370549,0.005111036784351027,268,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.07056651115417481,0.0011715375410040467,0.003395366668701172,0.0004577150766089592,gini,,1,5,42,"{'classifier__criterion': 'gini', 'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 5, 'classifier__random_state': 42}",0.9319056785370549,0.9326275264677575,0.9357555341674687,0.933589990375361,0.9213185755534168,0.9310394610202117,0.005030197706501722,277,0.9918190567853705,0.9919393647738209,0.9922401347449471,0.9915182868142445,0.9919995187680462,0.9919032723772858,0.00023636769374866208
0.06807670593261719,0.001732167436003819,0.003223133087158203,0.0003895348208499942,gini,,1,5,23,"{'classifier__criterion': 'gini', 'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 5, 'classifier__random_state': 23}",0.9333493743984601,0.9311838306063522,0.9367179980750722,0.9347930702598652,0.9191530317613089,0.9310394610202117,0.0062125535543244926,277,0.9917589027911453,0.9921799807507219,0.9922401347449471,0.9915784408084697,0.9920596727622714,0.991963426371511,0.00025407497692425343
0.0665067195892334,0.0014030438716663447,0.0032134056091308594,0.0004440950368868021,gini,,1,5,15,"{'classifier__criterion': 'gini', 'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 5, 'classifier__random_state': 15}",0.9333493743984601,0.933589990375361,0.9364773820981713,0.9364773820981713,0.9222810394610202,0.9324350336862368,0.005252707948943135,261,0.9918190567853705,0.9921198267564967,0.9921799807507219,0.9916385948026949,0.9921198267564967,0.9919754571703562,0.00021045302796605085
0.0661313533782959,0.0013839348932060181,0.0033233165740966797,0.00043236968402911806,gini,,1,5,53,"{'classifier__criterion': 'gini', 'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 5, 'classifier__random_state': 53}",0.9321462945139557,0.9333493743984601,0.9357555341674687,0.933589990375361,0.9196342637151107,0.9308950914340712,0.005749463258442694,281,0.9916987487969201,0.9919995187680462,0.9921799807507219,0.9915784408084697,0.9918792107795957,0.9918671799807507,0.00021318629868467216
0.0653982162475586,0.0012925015052466767,0.003218269348144531,0.00044044915813776003,gini,,1,10,42,"{'classifier__criterion': 'gini', 'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10, 'classifier__random_state': 42}",0.9345524542829644,0.9350336862367661,0.9398460057747835,0.9355149181905679,0.9319056785370549,0.9353705486044273,0.0025627578355523475,171,0.9806304138594802,0.9821342637151107,0.9817131857555341,0.9793671799807507,0.9814124157844081,0.9810514918190568,0.0009751628551087266
0.0687903881072998,0.002245103863962144,0.003042173385620117,0.0006320347185656847,gini,,1,10,23,"{'classifier__criterion': 'gini', 'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10, 'classifier__random_state': 23}",0.9347930702598652,0.9357555341674687,0.9388835418671799,0.9347930702598652,0.9297401347449471,0.9347930702598652,0.002939062845929225,199,0.9805101058710298,0.9821944177093359,0.9817733397497593,0.9790664100096247,0.9809913378248316,0.9809071222329162,0.001091823994662003
